Date         Time       Site   Ant   Freq     Type     Code  Power
2024-09-04   15:03:08     4     1   149.500   LOTEK    211    -81
2024-09-04   15:03:13     4     1   149.500   LOTEK    211    -81
2024-09-04   15:03:18     4     1   149.500   LOTEK    211    -81
2024-09-04   15:03:23     4     1   149.500   LOTEK    211    -81
2024-09-04   15:03:28     4     1   149.500   LOTEK    211    -81
2024-09-04   15:03:33     4     1   149.500   LOTEK    211    -87
2024-09-04   15:03:38     4     1   149.500   LOTEK    211    -79
2024-09-04   15:03:43     4     1   149.500   LOTEK    211    -80
2024-09-04   15:03:48     4     1   149.500   LOTEK    211    -77
2024-09-04   15:03:54     4     1   149.500   LOTEK    211    -76
2024-09-04   15:03:59     4     1   149.500   LOTEK    211    -75
2024-09-04   15:04:04     4     1   149.500   LOTEK    211    -76
2024-09-04   15:04:09     4     1   149.500   LOTEK    211    -79
2024-09-04   15:04:14     4     1   149.500   LOTEK    211    -78
2024-09-04   15:04:19     4     1   149.500   LOTEK    211    -75
2024-09-04   15:04:24     4     1   149.500   LOTEK    211    -77
2024-09-04   15:04:34     4     1   149.500   LOTEK    211    -76
2024-09-04   15:04:39     4     1   149.500   LOTEK    211    -76
2024-09-04   15:04:45     4     1   149.500   LOTEK    211    -89
2024-09-04   15:04:50     4     1   149.500   LOTEK    211    -86
2024-09-04   15:04:55     4     1   149.500   LOTEK    211    -79
2024-09-04   15:05:00     4     1   149.500   LOTEK    211    -88
2024-09-04   15:05:05     4     1   149.500   LOTEK    211    -84
2024-09-04   15:05:10     4     1   149.500   LOTEK    211    -85
2024-09-04   15:05:20     4     1   149.500   LOTEK    211    -84
2024-09-04   15:05:25     4     1   149.500   LOTEK    211    -84
2024-09-04   15:05:30     4     1   149.500   LOTEK    211    -89
2024-09-04   15:05:36     4     1   149.500   LOTEK    211    -98
2024-09-04   15:05:41     4     1   149.500   LOTEK    211   -102
2024-09-04   15:05:46     4     1   149.500   LOTEK    211    -92
2024-09-04   15:05:51     4     1   149.500   LOTEK    211    -91
2024-09-04   15:05:56     4     1   149.500   LOTEK    211   -103
2024-09-04   15:06:01     4     1   149.500   LOTEK    211   -101
2024-09-04   15:06:06     4     1   149.500   LOTEK    211   -102
2024-09-04   15:06:11     4     1   149.500   LOTEK    211   -109
2024-09-04   15:06:16     4     1   149.500   LOTEK    211   -105
2024-09-04   15:06:21     4     1   149.500   LOTEK    211   -112
2024-09-04   15:06:27     4     1   149.500   LOTEK    211   -104
2024-09-04   15:06:32     4     1   149.500   LOTEK    211   -105
2024-09-04   15:06:52     4     1   149.500   LOTEK    211   -111
