Date         Time       Site   Ant   Freq     Type     Code  Power
2024-09-10   13:19:57     4     1   149.500   LOTEK    211    -73
2024-09-10   13:20:02     4     1   149.500   LOTEK    211    -74
2024-09-10   13:20:07     4     1   149.500   LOTEK    211    -74
2024-09-10   13:20:12     4     1   149.500   LOTEK    211    -74
2024-09-10   13:20:17     4     1   149.500   LOTEK    211    -73
2024-09-10   13:20:23     4     1   149.500   LOTEK    211    -74
2024-09-10   13:20:28     4     1   149.500   LOTEK    211    -73
2024-09-10   13:20:33     4     1   149.500   LOTEK    211    -73
2024-09-10   13:20:38     4     1   149.500   LOTEK    211    -72
2024-09-10   13:20:43     4     1   149.500   LOTEK    211    -75
2024-09-10   13:20:48     4     1   149.500   LOTEK    211    -80
2024-09-10   13:20:53     4     1   149.500   LOTEK    211    -92
2024-09-10   13:21:03     4     1   149.500   LOTEK    211    -85
2024-09-10   13:21:08     4     1   149.500   LOTEK    211    -93
2024-09-10   13:21:14     4     1   149.500   LOTEK    211    -83
2024-09-10   13:21:24     4     1   149.500   LOTEK    211    -86
2024-09-10   13:21:29     4     1   149.500   LOTEK    211    -90
2024-09-10   13:21:34     4     1   149.500   LOTEK    211    -99
2024-09-10   13:21:39     4     1   149.500   LOTEK    211   -105
2024-09-10   13:21:49     4     1   149.500   LOTEK    211   -112
2024-09-10   13:21:54     4     1   149.500   LOTEK    211   -111
2024-09-10   13:21:59     4     1   149.500   LOTEK    211   -115
2024-09-10   13:22:05     4     1   149.500   LOTEK    211   -115
2024-09-10   13:22:10     4     1   149.500   LOTEK    211   -114
2024-09-10   13:22:15     4     1   149.500   LOTEK    211   -113
2024-09-10   13:22:20     4     1   149.500   LOTEK    211   -113
2024-09-10   13:22:25     4     1   149.500   LOTEK    211   -113
2024-09-10   13:22:30     4     1   149.500   LOTEK    211   -114
2024-09-10   13:22:35     4     1   149.500   LOTEK    211   -114
2024-09-10   13:22:40     4     1   149.500   LOTEK    211   -114
2024-09-10   13:22:51     4     1   149.500   LOTEK    211   -106
2024-09-10   13:22:56     4     1   149.500   LOTEK    211   -104
2024-09-10   13:23:01     4     1   149.500   LOTEK    211   -103
2024-09-10   13:23:06     4     1   149.500   LOTEK    211   -104
2024-09-10   13:23:11     4     1   149.500   LOTEK    211   -104
2024-09-10   13:23:16     4     1   149.500   LOTEK    211   -104
2024-09-10   13:23:21     4     1   149.500   LOTEK    211   -103
2024-09-10   13:23:26     4     1   149.500   LOTEK    211   -103
2024-09-10   13:23:31     4     1   149.500   LOTEK    211   -104
2024-09-10   13:23:36     4     1   149.500   LOTEK    211   -103
2024-09-10   13:23:42     4     1   149.500   LOTEK    211   -104
2024-09-10   13:23:47     4     1   149.500   LOTEK    211   -104
2024-09-10   13:23:52     4     1   149.500   LOTEK    211   -104
2024-09-10   13:23:57     4     1   149.500   LOTEK    211   -103
2024-09-10   13:24:02     4     1   149.500   LOTEK    211   -103
2024-09-10   13:24:07     4     1   149.500   LOTEK    211   -104
2024-09-10   13:24:12     4     1   149.500   LOTEK    211   -103
2024-09-10   13:24:17     4     1   149.500   LOTEK    211   -103
2024-09-10   13:24:22     4     1   149.500   LOTEK    211   -103
2024-09-10   13:24:27     4     1   149.500   LOTEK    211   -103
2024-09-10   13:24:33     4     1   149.500   LOTEK    211   -103
2024-09-10   13:24:38     4     1   149.500   LOTEK    211   -104
2024-09-10   13:24:43     4     1   149.500   LOTEK    211   -104
2024-09-10   13:24:48     4     1   149.500   LOTEK    211   -104
2024-09-10   13:24:53     4     1   149.500   LOTEK    211   -104
2024-09-10   13:24:58     4     1   149.500   LOTEK    211   -104
2024-09-10   13:25:03     4     1   149.500   LOTEK    211   -104
2024-09-10   13:25:08     4     1   149.500   LOTEK    211   -105
2024-09-10   13:25:13     4     1   149.500   LOTEK    211   -102
2024-09-10   13:25:18     4     1   149.500   LOTEK    211   -105
2024-09-10   13:25:24     4     1   149.500   LOTEK    211    -99
2024-09-10   13:25:29     4     1   149.500   LOTEK    211   -113
2024-09-10   13:25:34     4     1   149.500   LOTEK    211   -100
2024-09-10   13:25:44     4     1   149.500   LOTEK    211   -105
2024-09-10   13:25:49     4     1   149.500   LOTEK    211   -100
2024-09-10   13:25:54     4     1   149.500   LOTEK    211    -93
2024-09-10   13:25:59     4     1   149.500   LOTEK    211    -87
2024-09-10   13:26:04     4     1   149.500   LOTEK    211    -87
2024-09-10   13:26:09     4     1   149.500   LOTEK    211   -106
2024-09-10   13:26:15     4     1   149.500   LOTEK    211   -113
2024-09-10   13:26:20     4     1   149.500   LOTEK    211   -103
2024-09-10   13:26:25     4     1   149.500   LOTEK    211    -98
2024-09-10   13:26:30     4     1   149.500   LOTEK    211   -109
2024-09-10   13:26:35     4     1   149.500   LOTEK    211   -109
2024-09-10   13:26:40     4     1   149.500   LOTEK    211   -108
2024-09-07   17:32:32     4     1   149.320   LOTEK    196   -112
2024-09-07   17:32:37     4     1   149.320   LOTEK    196   -111
2024-09-07   17:32:42     4     1   149.320   LOTEK    196   -114
2024-09-07   17:33:13     4     1   149.320   LOTEK    196   -114
2024-09-07   17:33:23     4     1   149.320   LOTEK    196   -115
2024-09-07   17:33:48     4     1   149.320   LOTEK    196   -115
2024-09-07   17:34:04     4     1   149.320   LOTEK    196   -112
2024-09-07   17:36:21     4     1   149.320   LOTEK    196   -114
2024-09-07   17:36:27     4     1   149.320   LOTEK    196   -114
2024-09-07   17:36:57     4     1   149.320   LOTEK    196   -115
2024-09-07   17:37:23     4     1   149.320   LOTEK    196   -114
2024-09-07   17:40:42     4     1   149.320   LOTEK    196   -114
2024-09-10   13:12:08     4     1   149.500   LOTEK    211   -113
2024-09-10   13:12:13     4     1   149.500   LOTEK    211   -111
2024-09-10   13:12:28     4     1   149.500   LOTEK    211   -113
2024-09-10   13:12:33     4     1   149.500   LOTEK    211   -111
2024-09-10   13:12:43     4     1   149.500   LOTEK    211    -99
2024-09-10   13:12:48     4     1   149.500   LOTEK    211    -93
2024-09-10   13:12:54     4     1   149.500   LOTEK    211    -80
2024-09-10   13:12:59     4     1   149.500   LOTEK    211    -69
2024-09-10   13:13:04     4     1   149.500   LOTEK    211    -74
2024-09-10   13:13:09     4     1   149.500   LOTEK    211    -87
2024-09-10   13:13:14     4     1   149.500   LOTEK    211    -98
2024-09-10   13:13:19     4     1   149.500   LOTEK    211    -96
2024-09-10   13:13:24     4     1   149.500   LOTEK    211    -98
2024-10-24   11:13:02     4     1   149.500   LOTEK    211   -113
2024-10-24   11:13:07     4     1   149.500   LOTEK    211   -105
2024-10-24   11:13:13     4     1   149.500   LOTEK    211   -105
2024-10-24   11:13:18     4     1   149.500   LOTEK    211   -105
2024-10-24   11:13:23     4     1   149.500   LOTEK    211   -105
2024-10-24   11:13:28     4     1   149.500   LOTEK    211   -105
