Date         Time       Site   Ant   Freq     Type     Code  Power
2023-10-11   11:24:39     4     1   149.500   LOTEK    212    -67
2023-10-11   11:24:44     4     1   149.500   LOTEK    212    -67
2024-07-05   12:01:54     4     1   149.500   LOTEK    212    -85
2024-07-05   12:01:59     4     1   149.500   LOTEK    212    -83
2024-07-05   12:02:04     4     1   149.500   LOTEK    212    -58
2024-07-05   12:02:09     4     1   149.500   LOTEK    212    -58
2024-07-05   12:02:14     4     1   149.500   LOTEK    212    -58
2024-07-05   12:02:19     4     1   149.500   LOTEK    212    -91
2024-07-05   12:02:23     4     1   149.500   LOTEK    211    -91
2024-07-05   12:02:24     4     1   149.500   LOTEK    212    -60
2024-07-05   12:02:28     4     1   149.500   LOTEK    211    -92
2024-07-05   12:02:29     4     1   149.500   LOTEK    212    -57
2024-07-05   12:02:34     4     1   149.500   LOTEK    211    -91
2024-07-05   12:02:34     4     1   149.500   LOTEK    212    -73
2024-07-05   12:02:39     4     1   149.500   LOTEK    211    -91
2024-07-05   12:02:39     4     1   149.500   LOTEK    212    -72
2024-07-05   12:02:44     4     1   149.500   LOTEK    211    -91
2024-07-05   12:02:45     4     1   149.500   LOTEK    212    -74
2024-07-05   12:02:49     4     1   149.500   LOTEK    211    -91
2024-07-05   12:02:54     4     1   149.500   LOTEK    211    -90
2024-07-05   12:02:55     4     1   149.500   LOTEK    212    -76
2024-07-05   12:02:59     4     1   149.500   LOTEK    211    -91
2024-07-05   12:03:00     4     1   149.500   LOTEK    212    -76
2024-07-05   12:03:04     4     1   149.500   LOTEK    211    -91
2024-07-05   12:03:05     4     1   149.500   LOTEK    212    -76
2024-07-05   12:02:10     4     1   149.500   LOTEK    211    -92
2024-07-05   12:02:11     4     1   149.500   LOTEK    212    -77
2024-07-05   12:02:15     4     1   149.500   LOTEK    211    -91
2024-07-05   12:02:16     4     1   149.500   LOTEK    212    -76
2024-07-05   12:02:20     4     1   149.500   LOTEK    211    -93
2024-07-05   12:02:21     4     1   149.500   LOTEK    212    -74
2024-07-05   12:02:26     4     1   149.500   LOTEK    211    -91
2024-07-05   12:02:26     4     1   149.500   LOTEK    212    -76
2024-07-05   12:02:31     4     1   149.500   LOTEK    211    -91
2024-07-05   12:02:31     4     1   149.500   LOTEK    212    -76
2024-07-05   12:02:36     4     1   149.500   LOTEK    211    -91
2024-07-05   12:02:37     4     1   149.500   LOTEK    212    -76
2024-07-05   12:02:41     4     1   149.500   LOTEK    211    -92
2024-07-05   12:02:46     4     1   149.500   LOTEK    211    -91
2024-07-05   12:02:47     4     1   149.500   LOTEK    212    -76
2024-07-05   12:02:51     4     1   149.500   LOTEK    211    -91
2024-07-05   12:02:52     4     1   149.500   LOTEK    212    -76
2024-07-05   12:02:56     4     1   149.500   LOTEK    211    -92
2024-07-05   12:02:57     4     1   149.500   LOTEK    212    -71
2024-07-05   12:03:01     4     1   149.500   LOTEK    211    -95
2024-07-05   12:03:02     4     1   149.500   LOTEK    212    -73
2024-07-05   12:03:06     4     1   149.500   LOTEK    211    -94
2024-07-05   12:03:07     4     1   149.500   LOTEK    212    -70
2024-07-05   12:03:11     4     1   149.500   LOTEK    211    -92
2024-07-05   12:03:12     4     1   149.500   LOTEK    212    -73
2024-07-05   12:03:16     4     1   149.500   LOTEK    211    -89
2024-07-05   12:03:16     4     1   149.500   LOTEK    212    -67
2024-07-05   12:03:21     4     1   149.500   LOTEK    211    -90
2024-07-05   12:03:21     4     1   149.500   LOTEK    212    -66
2024-07-05   12:03:26     4     1   149.500   LOTEK    211    -90
2024-07-05   12:03:27     4     1   149.500   LOTEK    212    -68
2024-07-05   12:03:31     4     1   149.500   LOTEK    211    -90
2024-07-05   12:03:32     4     1   149.500   LOTEK    212    -67
2024-07-05   12:03:36     4     1   149.500   LOTEK    211   -100
2024-07-05   12:03:37     4     1   149.500   LOTEK    212    -70
2024-07-05   12:03:41     4     1   149.500   LOTEK    211    -90
2024-07-05   12:03:42     4     1   149.500   LOTEK    212    -76
2024-07-05   12:03:46     4     1   149.500   LOTEK    211    -91
2024-07-05   12:03:47     4     1   149.500   LOTEK    212    -75
2024-07-05   12:03:51     4     1   149.500   LOTEK    211    -91
2024-07-05   12:03:52     4     1   149.500   LOTEK    212    -83
2024-07-05   12:03:56     4     1   149.500   LOTEK    211    -92
2024-07-05   12:03:57     4     1   149.500   LOTEK    212    -72
2024-07-05   12:04:01     4     1   149.500   LOTEK    211    -91
2024-07-05   12:04:02     4     1   149.500   LOTEK    212    -68
2024-07-05   12:04:07     4     1   149.500   LOTEK    211    -90
2024-07-05   12:04:07     4     1   149.500   LOTEK    212    -69
2024-07-05   12:04:12     4     1   149.500   LOTEK    211    -91
2024-07-05   12:04:12     4     1   149.500   LOTEK    212    -69
2024-07-05   12:04:17     4     1   149.500   LOTEK    211    -90
2024-07-05   12:04:18     4     1   149.500   LOTEK    212    -68
2024-07-05   12:04:22     4     1   149.500   LOTEK    211    -89
2024-07-05   12:04:23     4     1   149.500   LOTEK    212    -69
2024-07-05   12:04:27     4     1   149.500   LOTEK    211    -89
2024-07-05   12:04:28     4     1   149.500   LOTEK    212    -68
2024-07-05   12:04:32     4     1   149.500   LOTEK    211    -90
2024-07-05   12:04:33     4     1   149.500   LOTEK    212    -69
2024-07-05   12:04:37     4     1   149.500   LOTEK    211    -91
2024-07-05   12:04:38     4     1   149.500   LOTEK    212    -68
2024-07-05   12:04:42     4     1   149.500   LOTEK    211    -97
2024-07-05   12:04:43     4     1   149.500   LOTEK    212    -68
2024-07-05   12:04:47     4     1   149.500   LOTEK    211    -91
2024-07-05   12:04:48     4     1   149.500   LOTEK    212    -67
2024-07-05   12:04:52     4     1   149.500   LOTEK    211    -91
