Date         Time       Site   Ant   Freq     Type     Code  Power
2024-10-24   11:19:00     5     1   149.500   LOTEK    211   -107
2024-10-24   11:19:05     5     1   149.500   LOTEK    211   -107
2024-10-24   11:19:10     5     2   149.500   LOTEK    211   -107
2024-10-24   11:19:15     5     2   149.500   LOTEK    211   -106
2024-10-24   11:19:20     5     1   149.500   LOTEK    211   -106
2024-10-24   11:19:25     5     2   149.500   LOTEK    211   -106
2024-10-24   11:19:30     5     2   149.500   LOTEK    211   -106
2024-10-24   11:19:35     5     1   149.500   LOTEK    211   -106
2024-10-24   11:19:40     5     2   149.500   LOTEK    211   -106
2024-10-24   11:19:46     5     2   149.500   LOTEK    211   -106
2024-10-24   11:19:51     5     1   149.500   LOTEK    211   -106
2024-10-24   11:19:56     5     2   149.500   LOTEK    211   -106
2024-10-24   11:20:01     5     2   149.500   LOTEK    211   -106
2024-10-24   11:20:06     5     1   149.500   LOTEK    211   -106
2024-10-24   11:20:11     5     1   149.500   LOTEK    211   -106
2024-10-24   11:20:16     5     2   149.500   LOTEK    211   -106
2024-10-24   11:20:21     5     1   149.500   LOTEK    211   -106
2024-10-24   11:20:26     5     1   149.500   LOTEK    211   -107
2024-10-24   11:20:31     5     2   149.500   LOTEK    211   -107
2024-10-24   11:20:37     5     1   149.500   LOTEK    211   -106
2024-10-24   11:20:42     5     1   149.500   LOTEK    211   -106
2024-10-24   11:20:47     5     2   149.500   LOTEK    211   -106
