Date         Time       Site   Ant   Freq     Type     Code  Power
2024-07-31   15:15:07     2     1   149.500   LOTEK    211    -81
2024-07-31   15:15:12     2     1   149.500   LOTEK    211    -81
2024-07-31   15:15:17     2     1   149.500   LOTEK    211    -81
2024-07-31   15:15:22     2     1   149.500   LOTEK    211    -81
2024-07-31   15:15:27     2     1   149.500   LOTEK    211    -74
2024-07-31   15:15:32     2     1   149.500   LOTEK    211    -74
2024-07-31   15:15:37     2     1   149.500   LOTEK    211    -81
2024-07-31   15:15:42     2     1   149.500   LOTEK    211    -81
2024-07-31   15:15:47     2     1   149.500   LOTEK    211    -81
2024-07-31   15:15:52     2     1   149.500   LOTEK    211    -81
2024-07-31   15:15:58     2     1   149.500   LOTEK    211    -81
2024-07-31   15:16:03     2     1   149.500   LOTEK    211    -86
2024-07-31   15:16:13     2     1   149.500   LOTEK    211    -85
2024-07-31   15:16:18     2     1   149.500   LOTEK    211    -85
2024-07-31   15:16:23     2     1   149.500   LOTEK    211    -86
2024-07-31   15:16:28     2     1   149.500   LOTEK    211    -76
2024-07-31   15:16:33     2     1   149.500   LOTEK    211    -77
2024-07-31   15:16:38     2     1   149.500   LOTEK    211    -81
2024-07-31   15:16:44     2     1   149.500   LOTEK    211    -77
2024-07-31   15:16:49     2     1   149.500   LOTEK    211    -77
2024-07-31   15:16:54     2     1   149.500   LOTEK    211    -76
2024-07-31   15:16:59     2     1   149.500   LOTEK    211    -77
2024-07-31   15:17:04     2     1   149.500   LOTEK    211    -77
2024-07-31   15:17:09     2     1   149.500   LOTEK    211    -77
2024-07-31   15:17:14     2     1   149.500   LOTEK    211    -77
2024-07-31   15:18:41     2     1   149.500   LOTEK    211    -76
2024-07-31   15:18:46     2     1   149.500   LOTEK    211    -76
2024-07-31   15:18:51     2     1   149.500   LOTEK    211    -81
2024-07-31   15:18:56     2     1   149.500   LOTEK    211    -82
2024-07-31   15:19:06     2     1   149.500   LOTEK    211    -67
2024-07-31   15:19:11     2     1   149.500   LOTEK    211    -65
2024-07-31   15:19:17     2     1   149.500   LOTEK    211    -72
2024-07-31   15:19:22     2     1   149.500   LOTEK    211    -71
2024-07-31   15:19:27     2     1   149.500   LOTEK    211    -73
2024-07-31   15:19:32     2     1   149.500   LOTEK    211    -61
2024-07-31   15:19:37     2     1   149.500   LOTEK    211    -68
2024-07-31   15:19:42     2     1   149.500   LOTEK    211    -68
2024-07-31   15:19:52     2     1   149.500   LOTEK    211    -85
2024-07-31   15:19:57     2     1   149.500   LOTEK    211    -85
2024-07-31   15:20:02     2     1   149.500   LOTEK    211    -60
2024-07-31   15:20:08     2     1   149.500   LOTEK    211    -59
2024-07-31   15:20:13     2     1   149.500   LOTEK    211    -59
2024-07-31   15:20:18     2     1   149.500   LOTEK    211    -58
2024-07-31   15:20:23     2     1   149.500   LOTEK    211    -58
2024-07-31   15:20:28     2     1   149.500   LOTEK    211    -58
2024-07-31   15:20:33     2     1   149.500   LOTEK    211    -58
2024-07-31   15:20:38     2     1   149.500   LOTEK    211    -58
2024-07-31   15:20:43     2     1   149.500   LOTEK    211    -58
2024-07-31   15:20:48     2     1   149.500   LOTEK    211    -58
2024-07-31   15:20:53     2     1   149.500   LOTEK    211    -59
2024-07-31   15:20:59     2     1   149.500   LOTEK    211    -58
2024-07-31   15:21:04     2     1   149.500   LOTEK    211    -59
2024-07-31   15:21:09     2     1   149.500   LOTEK    211    -58
2024-07-31   15:21:14     2     1   149.500   LOTEK    211    -58
2024-07-31   15:21:19     2     1   149.500   LOTEK    211    -58
2024-07-31   15:21:24     2     1   149.500   LOTEK    211    -58
2024-07-31   15:21:29     2     1   149.500   LOTEK    211    -58
2024-07-31   15:21:34     2     1   149.500   LOTEK    211    -58
2024-07-31   15:21:39     2     1   149.500   LOTEK    211    -58
2024-07-31   15:21:44     2     1   149.500   LOTEK    211    -58
2024-07-31   15:21:50     2     1   149.500   LOTEK    211    -58
2024-07-31   15:21:55     2     1   149.500   LOTEK    211    -58
2024-07-31   15:22:00     2     1   149.500   LOTEK    211    -58
2024-07-31   15:22:05     2     1   149.500   LOTEK    211    -58
2024-07-31   15:22:10     2     1   149.500   LOTEK    211    -58
2024-07-31   15:22:15     2     1   149.500   LOTEK    211    -58
2024-07-31   15:22:20     2     1   149.500   LOTEK    211    -58
2024-07-31   15:22:25     2     1   149.500   LOTEK    211    -58
2024-07-31   15:22:30     2     1   149.500   LOTEK    211    -58
2024-07-31   15:22:35     2     1   149.500   LOTEK    211    -58
2024-07-31   15:22:41     2     1   149.500   LOTEK    211    -66
2024-07-31   15:22:46     2     1   149.500   LOTEK    211    -65
2024-07-31   15:22:51     2     1   149.500   LOTEK    211    -68
2024-07-31   15:22:56     2     1   149.500   LOTEK    211    -64
2024-07-31   15:23:06     2     1   149.500   LOTEK    211    -66
2024-07-31   15:23:11     2     1   149.500   LOTEK    211    -67
2024-07-31   15:23:16     2     1   149.500   LOTEK    211    -65
2024-07-31   15:23:21     2     1   149.500   LOTEK    211    -59
2024-07-31   15:23:26     2     1   149.500   LOTEK    211    -59
2024-07-31   15:23:32     2     1   149.500   LOTEK    211    -60
2024-07-31   15:23:37     2     1   149.500   LOTEK    211    -61
2024-07-31   15:23:42     2     1   149.500   LOTEK    211    -61
2024-07-31   15:23:47     2     1   149.500   LOTEK    211    -61
2024-07-31   15:23:52     2     1   149.500   LOTEK    211    -61
2024-07-31   15:24:02     2     1   149.500   LOTEK    211    -60
2024-07-31   15:24:07     2     1   149.500   LOTEK    211    -58
2024-07-31   15:24:12     2     1   149.500   LOTEK    211    -60
2024-07-31   15:24:17     2     1   149.500   LOTEK    211    -67
2024-07-31   15:24:23     2     1   149.500   LOTEK    211    -73
2024-07-31   15:24:28     2     1   149.500   LOTEK    211    -73
2024-07-31   15:24:33     2     1   149.500   LOTEK    211    -88
2024-07-31   15:24:43     2     1   149.500   LOTEK    211    -87
2024-07-31   15:24:48     2     1   149.500   LOTEK    211    -90
2024-07-31   15:24:58     2     1   149.500   LOTEK    211    -93
2024-07-31   15:25:08     2     1   149.500   LOTEK    211    -99
2024-07-31   15:25:14     2     1   149.500   LOTEK    211    -94
2024-07-31   15:25:19     2     1   149.500   LOTEK    211    -95
2024-07-31   15:25:24     2     1   149.500   LOTEK    211   -103
2024-07-31   15:25:29     2     1   149.500   LOTEK    211   -107
2024-07-31   15:25:34     2     1   149.500   LOTEK    211   -105
2024-07-31   15:25:44     2     1   149.500   LOTEK    211   -104
2024-07-31   15:25:54     2     1   149.500   LOTEK    211   -108
2024-07-31   15:25:59     2     1   149.500   LOTEK    211   -113
2024-07-31   15:26:05     2     1   149.500   LOTEK    211   -108
2024-07-31   15:26:10     2     1   149.500   LOTEK    211   -107
2024-07-31   15:26:15     2     1   149.500   LOTEK    211   -108
2024-07-31   15:26:20     2     1   149.500   LOTEK    211   -110
2024-07-31   15:26:25     2     1   149.500   LOTEK    211   -107
2024-07-31   15:26:30     2     1   149.500   LOTEK    211   -106
2024-07-31   15:26:35     2     1   149.500   LOTEK    211   -108
2024-07-31   15:26:40     2     1   149.500   LOTEK    211   -109
2024-07-31   15:26:45     2     1   149.500   LOTEK    211   -114
2024-07-31   15:26:56     2     1   149.500   LOTEK    211   -107
2024-07-31   15:27:06     2     1   149.500   LOTEK    211   -107
