"","freqCode","unique_freqCode","earliestDate"
"1","149.500 008",1,2024-10-01 17:58:23
"2","149.500 014",1,2024-10-01 19:32:21
"3","149.500 025",1,2024-10-01 17:59:17
"4","149.500 033",1,2024-10-01 19:38:50
"5","149.500 034",1,2024-10-01 18:09:39
"6","149.500 038",1,2024-10-01 19:30:59
"7","149.500 071",1,2024-10-01 19:29:55
